company_name,ticker,cik,filing_type,filing_date,filing_url,Checked,snippet_text_short,KPI_CURRENT_VALUE,KPI_TREND,KPI_HISTORICAL_COMPARISON,TARGET_OUTLOOK,NPS_GOAL_REACHED,METHODOLOGY_DEFINITION,QUALITATIVE_ONLY,has_numeric_nps,nps_value_fix,nps_competition_industry,nps_value_over,nps_value_below,nps_goal_value,nps_goal_change
Atlantic Union Bankshares Corp,"AUB, AUB-PA",883948.0,FWP,2021-12-01,https://sec.gov/Archives/edgar/data/0000883948/000110465921145268/tm2133979d2_fwp.htm,x,"Based on over 12,000 interviews with small businesses across the country 2020 Greenwich Excellence Award Winner, South Region (Overall Satisfaction) 95 74 70 69 Atlantic Union Bank Big Bank #1 Big Bank #2 Big Bank #3 J.D. Power 2021 U.S. Retail Banking Satisfaction Study (Overall Satisfaction, Mid - Atlantic) AUB Overall ( Verint /Foresee) 2019 2020 YOY Overall Satisfaction 86 87 +1 Recommend AUB 85 87 +2 Increase Business 84 86 +2 Make Banking Easy 87% 88% +1% Net Promoter Score (NPS) 57 61 +4 AUB sees year over year improvements in Net Promoter Score, making banking easier and other key customer metrics. Recently Recognized By: 854 832 832 821 817 814 808 807 806 804 Atlantic Union Bank Region Average Proven Track Record of Superior Customer Satisfaction 15 Caring Working together toward common goals, acting with kindness, respect and a genuine concern for others. Courageous Speaking openly, honestly and accepting our challenges and mistakes as opportunities to learn and grow.",1,1,1,0,0,0,0,1,61.0,,,,,
PEAPACK GLADSTONE FINANCIAL CORP,PGC,1050743.0,EX-99.1,2025-04-30,https://sec.gov/Archives/edgar/data/0001050743/000095017025060851/pgc-ex99_1.htm,x,2024 new business inflows totaled $710MM. See page 17 for notes and important information. 30% Core Relationship Deposit1 Growth $1.85 Earnings Per Share 16% Noninterest-bearing Deposit Growth 14% Net Interest Income Growth2 (11% Q4 Increase) 17% Balance Sheet Liquidity3 Financial Results An Emerging Regional Player Green – Deposit Clients Blue – Commercial Loan/Lease Clients Gold – Wealth Management Clients Net Promoter Score Results 81 57 Peapack Private NY C&I (2024) Peapack Private Bank (2024) NPS Scores Best in Class 70+ Excellent 50+ Good 30+ 75 USAA (2023) 73 Amazon (2023) 72 Apple (2022) 31 U.S. Commercial Banks (2024) An Enviable Wealth Management Business See page 17 for notes and important information. Metro NY ExpansionResults through Year-End Hiring across critical support areas to support our growth.,1,0,0,0,0,0,0,1,81.0,31.0,,,,
Aldel Financial Inc.,"HGTY, HGTPW",1840776.0,DEFA14A,2021-11-22,https://sec.gov/Archives/edgar/data/0001840776/000110465921142109/tm2133497d1_defa14a.htm,x,"We have a freemium to paid aspect of that. We insure about 2 million vehicles across our jurisdictions. Net promoter score, which is something we're really proud of because it directly connects to the culture of a company we believe and its brand is an 84 net promoter score, which in insurance is extraordinary, but in almost any business is something to be proud of, we believe. We have this really strong lifetime value to customer acquisition cost. We're about 600 plus million in change this year and from a revenue standpoint, 90% retention, which is really strong and a 41% loss ratio, which if you know anything about auto insurance, that's extraordinary.",1,0,0,0,0,0,0,1,84.0,,,,,
"Butterfly Network, Inc.","BFLY, BFLY-WT",1804176.0,10-K,2021-03-29,https://sec.gov/Archives/edgar/data/0001804176/000110465921043278/tm214074d1_10k.htm,x,"In the United States, we sell to or have agreements in place with most of the top 100 U.S. healthcare systems. Moreover, positive feedback about Butterfly iQ+ among practitioners has historically been a significant driver of sales, as healthcare practitioners share their appreciation for Butterfly iQ within their medical communities, which has yielded a strong net promoter score. A net promoter score is a metric used as a measure of customer satisfaction and word of mouth referrals. A strong net promoter score has been shown to correlate with revenue growth relative to competitors.",0,0,0,0,0,0,1,0,,,,,,
NEOGENOMICS INC,NEO,1077183.0,EX-99.1,2021-01-05,https://sec.gov/Archives/edgar/data/0001077183/000107718321000019/neoinvestorpowerpointfin.htm,x,"Solid Tumor  Discovery Profile: 336 biomarkers  Precision Profile: 83 biomarkers  Universal NGS Fusion Panel: 252 genes Hematologic Disease  NeoTYPE® Myeloid Disorders: 63 genes InVisionFirst® Lung  37 genes  Reflex ordering with NeoTYPE® Lung Tissue NeoLAB® liquid biopsy suite  1 Solid Tumor Test  4 Hematologic Tests 16 Right Test Right Patient Right Time Flexible AppropriateTechnology Agnostic A Differentiated Approach To NGS Testing Multiple Modalities And Appropriate Biomarkers Leads To Great Care At A Value We Are Focused on The Customer NOTES: 1,055 respondents 17 Best in Class Net Promoter Score Q4 2020 Clinical Client Survey How likely is it that you would recommend this company to a friend or colleague? 0 1 2 3 4 5 6 7 8 9 10 Not at all likely Neutral Extremely likely Detractor Passive Promoter 7% 20% 73% 0 50 100100 50 +66 NPS Satisfaction Model Employee Engagement Employee Retention Customer Satisfaction Client Retention >95% Shareholder Satisfaction Achieve Results >Plan % Promoters % Detractors = NPS (Net Promoter Score) Clinical Reference Labs with Oncology Divisions Niche Oncology Players High R&D investment and limited test menus 18 Diversified Focus Leading Share in U.S. Cl",1,0,0,0,0,1,0,1,66.0,,95.0,,,
SPRING VALLEY ACQUISITION CORP.,"SMR, SMR-WT",1822966.0,425,2021-05-17,https://sec.gov/Archives/edgar/data/0001822966/000110465921067997/tm2110955d27_425.htm,x,"y Production closer to the consumer New standard for food safety Consistency Year-round growing Democratized production Zero pesticides Strong unit economics Up to 95% less water The short leafy greens growth cycle allows for rapid experimentation and innovation, providing AeroFarms with data insights to enhance its technology platform and expand to other product areas 24 AeroFarms Wins at Retail with Great Tasting Leafy Green Products In 2020 AeroFarms products performed on average 50% better than the average velocity per SKU of the indoor farming industry¹ AeroFarms received a best-in-class Net Promoter Score of 55; 57% higher than the indoor vertical farming segment average2 AeroFarms product is currently in over 200 stores in the Northeast, including Whole Foods Market, where AeroFarms experienced over 500% growth from 2019 to 2020 AeroFarms locally grown produce wins on quality, flavor, taste and texture with products that are priced competitively with organic players and other local farmers Along with baby leafy greens, AeroFarms sells products in high growth segments, such as microgreens AeroFarms retired its Dream Greens brand and introduced a new unified AeroFarms brand in 2021 1 Nielsen W/",1,0,0,0,0,0,0,1,55.0,,,,,
US BANCORP \DE\,"USB, USB-PA, USB-PH, USB-PP, USB-PQ, USB-PR, USB-PS",36104.0,EX-99.2,2021-09-21,https://sec.gov/Archives/edgar/data/0000036104/000110465921117620/tm2128006d1_ex99-2.htm,x,"Disclaimer 3 U.S. BANCORP | A Strategically and Financially Attractive Acquisition Meaningfully enhances scale Increases share in attractive markets Improves returns, accelerates long - term growth Creates significant value through expense synergies Opportunity to deploy broad product set and offer digital capabilities Similar customer - centric cultures and credit underwriting discipline 4 U.S. BANCORP | Leading customer service & net promoter scores $90B $58B Acquiring a Well - Established West Coast Franchise Key Operating Metrics Deposits Loans Source: FDIC deposit market share data as of June 30, 2021 adjusted for in - scope deposits acquired. Note: Assets, loans, deposits, and key metrics as of June 30, 2021. 1 Estimated tangible book value delivered at close.",0,0,0,0,0,0,0,0,,,,,,
SPRING VALLEY ACQUISITION CORP.,"SMR, SMR-WT",1822966.0,DEFA14A,2021-08-13,https://sec.gov/Archives/edgar/data/0001822966/000110465921104978/tm2124462d10_defa14a.htm,x,"Mass market retailers, for us that's again, Walmart, ShopRite, specialty retailers for us, that's Full Fruits or Morton Williams, online retailers for us, that's Fresh Direct or Amazon Fresh, and food service, like Baldor. David Rosenberg : And let's have excellent experiences there so we could go to our future customers and say, two key metrics that you follow are units per store per week, and our units per store per week are about 50% higher than the competitive set. The other key metric is net promoter score, which is one's likelihood to recommend product to their friends. And we share our net promoter score. Most people don't.",0,0,0,0,0,0,1,0,,,,,,
MILLICOM INTERNATIONAL CELLULAR SA,"TIGO, MLCMF",912958.0,6-K,2022-03-17,https://sec.gov/Archives/edgar/data/0000912958/000095010322004719/dp169195_6k.htm,x,"aligned with Millicom’s strategy to expand broadband, to monetize mobile data, drive convergence, accelerate B2B, go digital and provide the best customer service and experience. These measures, and relative weightings (shown below) are designed to reflect Millicom’s strategic goals of encouraging profitable operations, efficient use of capital, overall growth and customer focus: (i) Service Revenue (20%), (ii) Earnings Before Interest, Tax, Depreciation and Amortization (“ EBITDA ”) (20%), (iii) Operating Free Cash Flow after Leases* (“ OFCFal ”) (20%), (iv) Relational Net Promoter Score (“ rNPS” ) (10%), and (v) Personal Performance** (30%). * EBITDA less CAPEX (OCF), less changes in working capital and other non-cash items and taxes paid (OFCF), less lease capital and interest repayments. ** Personal Performance is assessed on achievement of personalized qualitative and quantitative goals aligned to the overall strategy and objectives of the Company.",0,0,0,0,0,0,1,0,,,,,,
MILLICOM INTERNATIONAL CELLULAR SA,"TIGO, MLCMF",912958.0,6-K,2023-04-24,https://sec.gov/Archives/edgar/data/0000912958/000095010323006044/dp192553_6k.htm,x,"gned with Millicom’s strategy to expand broadband, to monetize mobile data, drive convergence, accelerate B2B, go digital and provide the best customer service and experience. These measures, and relative weightings (shown below) are designed to reflect Millicom’s strategic goals of encouraging profitable operations, efficient use of capital, overall growth and customer focus: (i) Service Revenue (20%), (ii) Earnings Before Interest, Tax, Depreciation and Amortization (“ EBITDA ”) (20%), 15 (iii) Operating Free Cash Flow after Leases* (“ OFCFal ”) (20%), (iv) Relational Net Promoter Score (“ rNPS” ) (10%), and (v) Personal Performance** (30%). * EBITDA less CAPEX (OCF), less changes in working capital and other non-cash items and taxes paid (OFCF), less lease capital and interest repayments. ** Personal Performance is assessed on achievement of personalized qualitative and quantitative goals aligned to the overall strategy and objectives of the Company.",0,0,0,0,0,0,1,0,,,,,,
